RECTIFIERMODULEFAULTY(VisibleColumns3)
Severity,Raised Time,NE,NE Agent,Alarm Code,Comment,Alarm Object Name
Critical,2023-06-09 08:29:11,eKKX610_HS_GLO_GEM_OD(860138),KHI_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eKKX610_HS_GLO_GEM_OD
Critical,2023-06-09 08:27:52,eMGLM01_GLO(830027),MLT_GUL_OMMB1,Rectifier module failure of embedded power(198092117),"",eMGLM01_GLO
Critical,2023-06-09 08:02:43,eIUDK73_USFD(815582),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUDK73_USFD
Critical,2023-06-09 08:26:40,eATH003_MHS(841036),ISB_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eATH003_MHS
Critical,2023-06-09 08:26:40,eATH003_MHS(841036),ISB_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eATH003_MHS
Critical,2023-06-09 08:25:19,eQDUK06_E.CO_HOST(813346),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eQDUK06_E.CO_HOST
Critical,2023-06-09 08:15:11,eIUCT45_USFC(815255),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUCT45_USFC
Critical,2023-06-09 08:14:50,eMSSW01_WH(814547),MLT_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMSSW01_WH
Critical,2023-06-09 08:13:31,eKKX610_HS_GLO_GEM_OD(860138),KHI_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eKKX610_HS_GLO_GEM_OD
Critical,2023-06-09 08:13:15,eKHB114_WH(860881),KHI_GUL_OMMB5,Rectifier module failure of embedded power(198092117),"",eKHB114_WH
Critical,2023-06-09 08:12:01,eMMSS02_GLO_ZG(821269),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMMSS02_GLO_ZG
Critical,2023-06-09 08:11:19,eKKZ227_GLO(860462),KHI_GUL_OMMB4,Rectifier module failure of embedded power(198092117),"",eKKZ227_GLO
Critical,2023-06-09 08:10:41,eMMSS02_GLO_ZG(821269),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMMSS02_GLO_ZG
Critical,2023-06-09 08:09:13,eKHB107(860821),KHI_GUL_OMMB5,Rectifier module failure of embedded power(198092117),"",eKHB107
